"Timestamp","(1) What is your current year of study?","(2) What is your primary field of study?","(3) What is your gender?","(4) What type of institution are you currently enrolled in?","(5) How long have you been using AI tools (e.g., ChatGPT, Gemini, Copilot, etc.)?","(6) Which was the first AI tool you ever used?","(7) Which AI tool do you use most frequently right now?","(8) Which AI tools have you used in the last 30 days? (Select all that apply)","(9) What are your primary use cases for AI tools in your academic life? (Select all that apply)","(10) What is your average usage frequency of AI tools?","(11) Approximately how many hours do AI tools save you per week on academic tasks?","(12) To what extent do you generally trust the outputs/answers generated by AI tools for academic purposes?","(13) Regarding AI tool subscriptions (e.g., ChatGPT Plus, Gemini Advanced, etc.):","(14) Have you ever submitted content generated entirely by AI (e.g., essays, code blocks) as your own work without significant modification or citation?","(15) How concerned are you that the increasing reliance on AI tools might devalue or atrophy core academic/professional skills (e.g., critical thinking, writing, coding)?","(16) On a scale of 0 to 10, how likely are you to recommend the use of AI tools to a peer or junior student?"
"2026/04/08 7:58:01 PM GMT+5:30","1st","Data Science & AI","Male","IIT","1–2 years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Notion AI;Grammarly AI;Other","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Productivity (e.g., scheduling, email drafts)","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Rarely","4","10"
"2026/04/08 7:58:19 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Entertainment","Multiple times a day","More than 10 hours","5","Yes, my institution/scholarship pays for my subscription","Prefer not to say","5","6"
"2026/04/08 7:58:59 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini;Microsoft Copilot;Perplexity;Grok;DeepSeek;Notion AI;Grammarly AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation)","A few times a week","3–5 hours","4","No, I only use free tiers/models","Never","5","3"
"2026/04/08 7:59:02 PM GMT+5:30","3rd","Data Science & AI","Male","IIT","1–2 years","Microsoft Copilot","Claude","ChatGPT;Claude;Gemini","Coding & debugging;Studying concepts/explaining difficult topics;Research & summarization","Multiple times a day","3–5 hours","2","No, I only use free tiers/models","Never","5","10"
"2026/04/08 7:59:27 PM GMT+5:30","Postgraduate","Data Science & AI","Male","IIT","1–2 years","ChatGPT","Gemini (or Google Bard)","ChatGPT;Claude;Gemini","Coding & debugging;Studying concepts/explaining difficult topics;Career prep (e.g., mock interviews, resume review)","Multiple times a day","6–10 hours","3","Yes, my institution/scholarship pays for my subscription","Rarely","4","5"
"2026/04/08 8:00:00 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Male","IIT","6–12 months","Gemini","ChatGPT","ChatGPT;Claude;Gemini;Perplexity","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects)","Once a day","1–2 hours","4","Yes, my institution/scholarship pays for my subscription","Never","3","7"
"2026/04/08 8:00:03 PM GMT+5:30","3rd","CS/IT","Female","IIT","2+ years","boyfriend","boyfriend","Other","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","More than 10 hours","4","No, I only use free tiers/models","Often","1","10"
"2026/04/08 8:02:28 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","Never used","Haven't used any","Haven't used any","Other","Entertainment","Rarely","0 hours","1","","Never","5","0"
"2026/04/08 8:02:48 PM GMT+5:30","2nd","CS/IT","Male","IIT","1–2 years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Microsoft Copilot;GitHub Copilot;Notion AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects)","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Sometimes","4","10"
"2026/04/08 8:03:06 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Female","IIT","1–2 years","Grammarly","Gemini (or Google Bard)","ChatGPT;Claude;Gemini;Perplexity;Notion AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Career prep (e.g., mock interviews, resume review)","Once a day","3–5 hours","4","Yes, my institution/scholarship pays for my subscription","Never","5","6"
"2026/04/08 8:03:10 PM GMT+5:30","1st","CS/IT","Female","IIT","3–6 months","Grammarly","ChatGPT","ChatGPT;Claude;Gemini;Microsoft Copilot;Perplexity;GitHub Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics","A few times a week","3–5 hours","3","No, I only use free tiers/models","Rarely","1","6"
"2026/04/08 8:03:11 PM GMT+5:30","4th","Data Science & AI","Male","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini;DeepSeek;Midjourney;DALL·E;Stable Diffusion;Cursor","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Research & summarization","Multiple times a day","3–5 hours","4","Yes, my institution/scholarship pays for my subscription","Often","5","10"
"2026/04/08 8:03:13 PM GMT+5:30","2nd","Sciences (Physics, Chemistry, Biology, Math)","Female","Private University","1–2 years","ChatGPT","ChatGPT","ChatGPT","Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization","Multiple times a day","1–2 hours","4","No, I only use free tiers/models","Sometimes","4","10"
"2026/04/08 8:03:41 PM GMT+5:30","2nd","CS/IT","Female","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Image/video generation (creative projects);Productivity (e.g., scheduling, email drafts)","Multiple times a day","3–5 hours","3","No, I only use free tiers/models","Sometimes","1","10"
"2026/04/08 8:04:08 PM GMT+5:30","2nd","CS/IT","Male","IIT","1–2 years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Microsoft Copilot;Grok;GitHub Copilot;Cursor;Other","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Image/video generation (creative projects)","Multiple times a day","3–5 hours","4","Yes, my institution/scholarship pays for my subscription","Sometimes","4","10"
"2026/04/08 8:04:47 PM GMT+5:30","2nd","Data Science & AI","Female","IIT","2+ years","siri","siri","Other","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","3–5 hours","5","Yes, my institution/scholarship pays for my subscription","Prefer not to say","1","10"
"2026/04/08 8:06:35 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Male","IIT","6–12 months","ChatGPT","Gemini (or Google Bard)","ChatGPT;Gemini;Microsoft Copilot;DeepSeek;Grammarly AI;Other","Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects);Productivity (e.g., scheduling, email drafts)","Multiple times a day","3–5 hours","3","Yes, my institution/scholarship pays for my subscription","Never","5","6"
"2026/04/08 8:07:05 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Male","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini;Perplexity;DeepSeek","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Entertainment","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Rarely","3","7"
"2026/04/08 8:07:51 PM GMT+5:30","3rd","Data Science & AI","Male","IIT","2+ years","ChatGPT","Gemini (or Google Bard)","ChatGPT;Claude;Gemini;Perplexity;Cursor;Suno","Coding & debugging;Studying concepts/explaining difficult topics;Productivity (e.g., scheduling, email drafts)","Multiple times a day","3–5 hours","3","No, I only use free tiers/models","Sometimes","3","7"
"2026/04/08 8:08:55 PM GMT+5:30","2nd","Medicine","Female","Other","2+ years","Microsoft Copilot","ChatGPT","ChatGPT;Gemini;Perplexity","Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Rarely","2","8"
"2026/04/08 8:10:13 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Female","IIT","6–12 months","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini;Microsoft Copilot;Perplexity;Grok;Grammarly AI","Coding & debugging;Studying concepts/explaining difficult topics","Multiple times a day","6–10 hours","3","No, I only use free tiers/models","Rarely","3","6"
"2026/04/08 8:12:56 PM GMT+5:30","1st","Data Science & AI","Male","IIT","3–6 months","ChatGPT","Gemini (or Google Bard)","ChatGPT;Claude;Gemini","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","1–2 hours","4","Yes, my institution/scholarship pays for my subscription","Often","4","10"
"2026/04/08 8:13:24 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Female","IIT","6–12 months","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini;Grammarly AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects)","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Sometimes","3","7"
"2026/04/08 8:14:08 PM GMT+5:30","2nd","Sciences (Physics, Chemistry, Biology, Math)","Female","Private University","6–12 months","Grammarly","ChatGPT","ChatGPT;Claude;Gemini;Perplexity;Notion AI;Grammarly AI","Studying concepts/explaining difficult topics;Research & summarization","Multiple times a day","3–5 hours","1","No, I only use free tiers/models","Never","5","7"
"2026/04/08 8:14:09 PM GMT+5:30","","","","","","","Grammarly","Other","","","","","","","",""
"2026/04/08 8:15:37 PM GMT+5:30","3rd","Data Science & AI","Male","IIT","2+ years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Microsoft Copilot;Grok;GitHub Copilot;Cursor;ElevenLabs;Grammarly AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review)","Multiple times a day","More than 10 hours","4","Yes, my institution/scholarship pays for my subscription","Sometimes","4","10"
"2026/04/08 8:16:24 PM GMT+5:30","Postgraduate","Humanities (Arts, Languages, Social Sciences)","Non-binary","Private University","Never used","Haven't used any","Haven't used any","DALL·E","Entertainment","Rarely","0 hours","5","Yes, I pay for a subscription myself","Prefer not to say","2","3"
"2026/04/08 8:17:08 PM GMT+5:30","1st","CS/IT","Female","IIT","6–12 months","ChatGPT","ChatGPT","ChatGPT","Studying concepts/explaining difficult topics","Multiple times a day","","","","","3","8"
"2026/04/08 8:19:17 PM GMT+5:30","1st","CS/IT","Female","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization","Multiple times a day","3–5 hours","3","Yes, my institution/scholarship pays for my subscription","Often","3","6"
"2026/04/08 8:33:11 PM GMT+5:30","2nd","CS/IT","Male","IIT","2+ years","ChatGPT","Gemini (or Google Bard)","ChatGPT;Claude;Gemini","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","6–10 hours","4","Yes, my institution/scholarship pays for my subscription","Sometimes","3","8"
"2026/04/08 8:35:47 PM GMT+5:30","2nd","Data Science & AI","Female","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Gemini;Microsoft Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts);Entertainment","Once a day","3–5 hours","4","No, I only use free tiers/models","Sometimes","3","10"
"2026/04/08 8:43:21 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Claude;GitHub Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation)","Multiple times a day","6–10 hours","4","No, I only use free tiers/models","Often","3","9"
"2026/04/08 8:46:51 PM GMT+5:30","2nd","CS/IT","Male","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Research & summarization","Multiple times a day","3–5 hours","3","No, I only use free tiers/models","Often","2","10"
"2026/04/08 8:47:02 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","1–2 years","Google Assistant","ChatGPT","ChatGPT;Claude;Gemini;Microsoft Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization","Multiple times a day","More than 10 hours","3","No, I only use free tiers/models","Rarely","5","7"
"2026/04/08 8:51:41 PM GMT+5:30","2nd","Engineering (Non-CS/IT)","Male","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Gemini;Microsoft Copilot;Perplexity;Grok;Grammarly AI;Other","Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Research & summarization;Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts)","Multiple times a day","3–5 hours","2","Yes, I pay for a subscription myself","Rarely","3","8"
"2026/04/08 8:51:43 PM GMT+5:30","3rd","Data Science & AI","Male","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Claude;Gemini;Perplexity;Grok;DeepSeek;DALL·E;GitHub Copilot;ElevenLabs;Other","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","More than 10 hours","3","Yes, my institution/scholarship pays for my subscription","Often","4","10"
"2026/04/08 9:01:36 PM GMT+5:30","2nd","CS/IT","Male","IIT","1–2 years","Gemini","Microsoft Copilot","ChatGPT;Gemini;Microsoft Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Productivity (e.g., scheduling, email drafts);Entertainment","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Often","2","6"
"2026/04/08 9:10:43 PM GMT+5:30","4th","Data Science & AI","Non-binary","IIT","Never used","Haven't used any","Haven't used any","Other","","Rarely","0 hours","1","No, I only use free tiers/models","Never","1","0"
"2026/04/08 9:14:27 PM GMT+5:30","2nd","CS/IT","Male","Private University","2+ years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Microsoft Copilot;Perplexity;Grok;DALL·E;Cursor","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects)","Multiple times a day","6–10 hours","3","No, I only use free tiers/models","Never","2","8"
"2026/04/08 9:17:56 PM GMT+5:30","1st","Data Science & AI","Male","IIT","6–12 months","Perplexity","Gemini (or Google Bard)","ChatGPT;Claude;Gemini;Microsoft Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Productivity (e.g., scheduling, email drafts)","Multiple times a day","6–10 hours","5","Yes, I pay for a subscription myself","Rarely","3","8"
"2026/04/08 9:45:22 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Male","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Gemini;Grok","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects)","Multiple times a day","1–2 hours","4","No, I only use free tiers/models","Never","3","10"
"2026/04/08 10:49:28 PM GMT+5:30","2nd","Engineering (Non-CS/IT)","Male","IIT","1–2 years","ChatGPT","Microsoft Copilot","ChatGPT;Claude;Gemini;Microsoft Copilot","Coding & debugging;Assignments & homework (conceptual help)","Multiple times a day","3–5 hours","3","No, I only use free tiers/models","","4","6"
"2026/04/08 11:38:13 PM GMT+5:30","1st","Data Science & AI","Male","IIT","1–2 years","ChatGPT","Gemini (or Google Bard)","Claude;Gemini;Grammarly AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects)","Multiple times a day","6–10 hours","5","Yes, my institution/scholarship pays for my subscription","Sometimes","4","10"
"2026/04/08 11:58:35 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","1–2 years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Grok;GitHub Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Research & summarization;Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts)","A few times a week","3–5 hours","4","No, I only use free tiers/models","Sometimes","4","5"
"2026/04/09 2:20:48 AM GMT+5:30","Postgraduate","I am a virgin sex addict ","Prefer not to say","Private University","Never used","Claude","Haven't used any","Other","Entertainment","","","","","","",""
"2026/04/09 8:29:19 AM GMT+5:30","2nd","Data Science & AI","Male","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Gemini","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts)","Multiple times a day","1–2 hours","4","No, I only use free tiers/models","Sometimes","4","7"
"2026/04/09 6:53:04 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Female","IIT","6–12 months","ChatGPT","ChatGPT","ChatGPT;Gemini;Microsoft Copilot;Perplexity;Grok;Grammarly AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects)","Multiple times a day","6–10 hours","3","No, I only use free tiers/models","Rarely","3","7"
"2026/04/09 7:37:43 PM GMT+5:30","2nd","Engineering (Non-CS/IT)","Male","IIT","2+ years","ChatGPT","ChatGPT","ChatGPT;Gemini;Microsoft Copilot","Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects);Productivity (e.g., scheduling, email drafts)","Multiple times a day","3–5 hours","4","Yes, I pay for a subscription myself","Rarely","4","6"
"2026/04/09 9:13:48 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","1–2 years","Grammarly","ChatGPT","ChatGPT;Claude;Gemini;Notion AI","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization","Multiple times a day","3–5 hours","3","No, I only use free tiers/models","Rarely","5","7"
"2026/04/09 9:33:05 PM GMT+5:30","Postgraduate","MBBS","Non-binary","Private University","2+ years","Sora AI","Haven't used any","Other","Entertainment","Multiple times a day","1–2 hours","5","Yes, I pay for a subscription myself","Prefer not to say","5","10"
"2026/04/09 9:37:05 PM GMT+5:30","3rd","Data Science & AI","Male","IIT","2+ years","ChatGPT","Claude","ChatGPT;Claude;Gemini;Microsoft Copilot;Perplexity;Grok;DeepSeek;GitHub Copilot;Suno","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review)","Multiple times a day","6–10 hours","3","No, I only use free tiers/models","Sometimes","5","10"
"2026/04/09 11:27:35 PM GMT+5:30","2nd","Data Science & AI","Male","IIT","2+ years","ChatGPT","Claude","ChatGPT;Claude;Gemini;GitHub Copilot","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics","Multiple times a day","6–10 hours","4","No, I only use free tiers/models","Sometimes","3","8"
"2026/04/09 11:54:40 PM GMT+5:30","1st","CS/IT","Male","IIT","6–12 months","ChatGPT","ChatGPT","ChatGPT;Gemini;Microsoft Copilot","Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Image/video generation (creative projects);Productivity (e.g., scheduling, email drafts)","Once a day","1–2 hours","4","No, I only use free tiers/models","Rarely","5","7"
"2026/04/10 10:21:19 AM GMT+5:30","2nd","Data Science & AI","Female","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Gemini;Perplexity","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Writing & essays (proofreading, idea generation);Research & summarization;Image/video generation (creative projects);Career prep (e.g., mock interviews, resume review);Productivity (e.g., scheduling, email drafts)","Multiple times a day","More than 10 hours","3","Yes, my institution/scholarship pays for my subscription","Sometimes","5","10"
"2026/04/10 11:34:24 AM GMT+5:30","3rd","Humanities (Arts, Languages, Social Sciences)","Non-binary","BITS","2+ years","Haven't used any","Grammarly","ChatGPT;Claude;Grok;Midjourney;DALL·E;Cursor;Suno","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Research & summarization;Productivity (e.g., scheduling, email drafts)","Multiple times a day","0 hours","5","Yes, I pay for a subscription myself","Often","2","2"
"2026/04/10 10:55:42 PM GMT+5:30","1st","Engineering (Non-CS/IT)","Male","IIT","1–2 years","ChatGPT","ChatGPT","ChatGPT;Gemini;Perplexity;Grok","Coding & debugging;Assignments & homework (conceptual help);Studying concepts/explaining difficult topics;Research & summarization;Image/video generation (creative projects)","Multiple times a day","3–5 hours","4","No, I only use free tiers/models","Sometimes","5","5"
